id,corridor_id,department,task_type,duration_slots,severity,criticality,due_slot,mandatory,requires_power_block,earliest_slot,latest_end_slot
T001,C1,ENGINEERING,TRACK_REPAIR,8,9,8,480,true,false,0,576
T002,C2,ENGINEERING,TRACK_REPAIR,6,9,8,576,true,false,96,576
T003,C3,ENGINEERING,TRACK_REPAIR,6,9,10,672,true,false,192,768
T004,C4,ENGINEERING,TRACK_REPAIR,4,9,8,672,true,false,288,864
T005,C5,ENGINEERING,TRACK_REPAIR,6,9,9,768,true,false,384,960
T006,C6,ENGINEERING,TRACK_REPAIR,4,9,10,960,true,false,480,1152
T007,C7,ENGINEERING,TRACK_REPAIR,2,9,10,384,true,false,0,576
T008,C8,ENGINEERING,TRACK_REPAIR,4,9,9,576,true,false,96,576
T009,C9,ENGINEERING,TRACK_REPAIR,6,9,9,672,false,false,192,768
T010,C10,ENGINEERING,TRACK_REPAIR,2,9,8,768,false,false,288,768
T011,C1,ST,SIGNAL_TEST,12,9,10,1152,false,false,768,1248
T012,C2,ST,SIGNAL_TEST,4,9,8,1248,false,false,864,1344
T013,C3,ST,SIGNAL_TEST,8,9,9,1440,false,false,960,1632
T014,C4,ST,SIGNAL_TEST,2,9,8,1440,false,false,1056,1536
T015,C5,ST,SIGNAL_TEST,12,9,9,1536,false,false,1152,1632
T016,C6,ST,SIGNAL_TEST,2,9,10,1152,false,false,672,1248
T017,C7,ST,SIGNAL_TEST,12,9,9,1248,false,false,768,1440
T018,C8,ST,SIGNAL_TEST,2,9,9,1344,false,false,864,1536
T019,C9,ST,SIGNAL_TEST,2,9,10,1344,false,false,960,1632
T020,C10,ST,SIGNAL_TEST,2,9,9,1440,false,false,1056,1632
T021,C1,TRD,SUBSTATION_TEST,6,9,9,2016,false,true,1536,2112
T022,C2,TRD,OHE_POWER_WORK,2,9,10,2016,false,true,1632,2112
T023,C3,TRD,SUBSTATION_TEST,8,9,9,2112,false,true,1728,2400
T024,C4,TRD,OHE_POWER_WORK,8,9,10,2304,false,true,1824,2496
T025,C5,TRD,SUBSTATION_TEST,4,9,9,1824,false,true,1344,1824
T026,C6,TRD,OHE_POWER_WORK,4,8,8,1824,false,true,1440,2112
T027,C7,TRD,SUBSTATION_TEST,4,8,8,2016,false,true,1536,2112
T028,C8,TRD,OHE_POWER_WORK,2,8,8,2016,false,true,1632,2208
T029,C9,TRD,SUBSTATION_TEST,4,8,8,2112,false,true,1728,2400
T030,C10,TRD,OHE_POWER_WORK,8,8,8,2208,false,true,1824,2496
T031,C1,ENGINEERING,RAIL_GRINDING,4,8,8,2592,false,false,2304,2688
T032,C2,ENGINEERING,RAIL_GRINDING,12,8,8,2688,false,false,2400,2688
T033,C3,ENGINEERING,RAIL_GRINDING,4,8,8,2688,false,false,2496,2688
T034,C4,ENGINEERING,RAIL_GRINDING,12,8,8,2496,false,false,2016,2688
T035,C5,ENGINEERING,RAIL_GRINDING,2,8,8,2592,false,false,2112,2688
T036,C6,ENGINEERING,RAIL_GRINDING,2,8,8,2592,false,false,2208,2688
T037,C7,ENGINEERING,RAIL_GRINDING,2,8,8,2592,false,false,2304,2688
T038,C8,ENGINEERING,RAIL_GRINDING,12,8,8,2688,false,false,2400,2688
T039,C9,ENGINEERING,RAIL_GRINDING,2,8,8,2688,false,false,2496,2688
T040,C10,ENGINEERING,RAIL_GRINDING,6,8,8,2304,false,false,2016,2496
T041,C1,ST,TRACK_CIRCUIT_CALIBRATION,12,8,8,672,false,false,384,864
T042,C2,ST,TRACK_CIRCUIT_CALIBRATION,2,8,8,864,false,false,480,960
T043,C3,ST,TRACK_CIRCUIT_CALIBRATION,6,8,8,480,false,false,0,576
T044,C4,ST,TRACK_CIRCUIT_CALIBRATION,2,8,8,480,false,false,96,576
